epoch,ach_id,loss,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
80,ACH-000699,-56.245811462402344,-5.720420837402344,0.203125,-5.71242131490809,1.6381094455718994,-6.0,-4.6236090660095215,-4.999812602996826,-4.390990257263184,0.0
81,ACH-000711,-58.13523483276367,-5.814565658569336,0.140625,-5.722635749274215,1.689504861831665,-6.0,-4.681354522705078,-5.073469161987305,-4.418768882751465,0.0
82,ACH-000725,-52.938514709472656,-5.770531177520752,0.171875,-5.727425292098868,1.6304113864898682,-6.0,-4.664907455444336,-5.088705062866211,-4.022232532501221,0.0
83,ACH-000755,-45.55099868774414,-5.746898651123047,0.1875,-5.729372628001286,1.4135921001434326,-6.0,-4.650127410888672,-4.942518711090088,-4.209997653961182,0.0
84,ACH-000759,-48.37460708618164,-5.73033332824707,0.1875,-5.7294686980258644,1.5118794441223145,-6.0,-4.561776161193848,-4.729991912841797,-4.141153335571289,0.0
85,ACH-000768,-42.99956130981445,-5.6463623046875,0.234375,-5.721158058692028,1.3562026023864746,-6.0,-4.491146087646484,-5.209752559661865,-3.809030055999756,0.0
86,ACH-000783,-53.899715423583984,-5.711207389831543,0.1875,-5.72016299180598,1.6325407028198242,-6.0,-4.459771156311035,-4.4607157707214355,-4.449376583099365,0.0
87,ACH-000818,-74.15109252929688,-5.5999836921691895,0.140625,-5.7081450618423,2.235290288925171,-6.0,-3.1554384231567383,-3.3026514053344727,-2.9033870697021484,0.0
88,ACH-000828,-80.98985290527344,-5.806055545806885,0.078125,-5.7179361102387585,2.3506054878234863,-6.0,-3.5175113677978516,-3.5175113677978516,-3.5175113677978516,0.0
89,ACH-000849,-50.31852340698242,-5.469827651977539,0.265625,-5.693125264412637,1.515404224395752,-6.0,-4.004058361053467,-4.213537216186523,-3.7570395469665527,0.0
90,ACH-000856,-59.738258361816406,-5.661061763763428,0.15625,-5.689918914347715,1.668609619140625,-6.0,-3.830796003341675,-4.599068641662598,-3.579336404800415,0.0
91,ACH-000857,-59.41363525390625,-5.779041290283203,0.125,-5.698831151941263,1.6218218803405762,-6.0,-4.232327461242676,-4.680481433868408,-4.083693504333496,0.0
92,ACH-000859,-43.82325744628906,-5.7206010818481445,0.21875,-5.701008144931952,1.2334895133972168,-6.0,-4.722747802734375,-5.147833824157715,-4.555265426635742,0.0
93,ACH-000876,-54.307037353515625,-5.680243492126465,0.25,-5.698931679651404,1.5330111980438232,-6.0,-4.720974445343018,-4.908164024353027,-4.251884937286377,0.0
94,ACH-000902,-48.25041961669922,-5.487914085388184,0.265625,-5.677829920225082,1.4023445844650269,-6.0,-4.072147846221924,-4.872793197631836,-2.391366481781006,0.0
95,ACH-000910,-57.48063659667969,-5.673944473266602,0.1875,-5.677441375529234,1.5338256359100342,-6.0,-4.261036396026611,-4.840492248535156,-3.0024213790893555,0.0
96,ACH-000927,-48.402591705322266,-5.576329231262207,0.296875,-5.667330161102532,1.3087844848632812,-6.0,-4.5728983879089355,-5.026785850524902,-3.8310046195983887,0.0
97,ACH-000930,-54.91231918334961,-5.639695644378662,0.21875,-5.6645667094301455,1.3976547718048096,-6.0,-4.352893352508545,-4.845211029052734,-3.890066146850586,0.0
98,ACH-000934,-66.66813659667969,-5.599498748779297,0.234375,-5.658059913365061,1.709155797958374,-6.0,-4.29119348526001,-5.072286128997803,-2.323596477508545,0.0
99,ACH-001390,-62.259429931640625,-5.730319976806641,0.203125,-5.665285919709218,1.528960943222046,-6.0,-4.672342777252197,-5.023116111755371,-3.986166477203369,0.0
100,ACH-001819,-65.08837890625,-5.706053733825684,0.1875,-5.669362701120864,1.664952278137207,-6.0,-4.432286739349365,-4.519611358642578,-4.0090484619140625,0.0
