smi_101	S=C(N1CCN(CC1)c1ncnc2c1oc1c2cccc1)NCc1ccc2c(c1)OCO2
smi_102	COc1cc(ccc1Nc1cc(Nc2ccccc2S(=O)(=O)C(C)C)c2c(n1)[nH]cc2)N1CCC(CC1)O
smi_103	O=C(c1sccc1NCc1ccnc2c1cccc2)Nc1ccc(cc1)OC(F)(F)F
smi_104	CN1CCCN(CC1)c1ccc2c(n1)n1c(c(c2=O)C(=O)NCc2cnc(cn2)C)sc2c1cccc2
smi_105	CC(CC(=O)Nc1n[nH]c2c1CN(C2(C)C)C(=O)C1CCN(CC1)C)C
smi_106	Oc1cccc(c1)c1nc(N2CCOCC2)c2c(n1)c1cccnc1o2
smi_107	OCCNS(=O)(=O)c1cc(ccc1Cl)c1sc(nc1C)NC(=O)C
smi_108	Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(c1)nccn2)C(C)(C)C
smi_109	NC(=O)Nc1sc(cc1C(=O)N)c1ccc(cc1)F
smi_110	Cc1cnc(nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C)Nc1ccc(cc1)OCCN1CCCC1
smi_111	COc1cc2c(ccnc2cc1OCCCN1CCOCC1)Oc1ccc(cc1F)NC(=O)C1(CC1)C(=O)Nc1ccc(cc1)F
smi_112	O=C(c1ccc(cc1)C(N)C)Nc1ccnc2c1cc[nH]2
smi_113	Nc1ccc(cn1)C(=O)Nc1cccc(c1)c1nc(N2CCOCC2)c2c(n1)c1cccnc1o2
smi_114	COc1cc2c(ccnc2cc1OC)Oc1ccc(c(c1)Cl)NC(=O)Nc1noc(c1)C
smi_115	CCn1c(nc2c1c(OCC1CCCNC1)cnc2C#CC(O)(C)C)c1nonc1N
smi_116	C=CC(=O)Nc1cc(NC(=O)c2ccc(c(c2)NC(=O)c2ccno2)C)cc(c1)C(F)(F)F
smi_117	O=C(c1cccc(c1)c1ccc2c(c1)[nH]nc2NC(=O)C1CC1)NC1CC1
smi_118	C=CC(=O)Nc1cc(ccc1C)n1c(=O)ccc2c1c1cc(ccc1nc2)c1c[nH]nc1
smi_119	CN1CCN(CC1)C.C=CC(=O)Nc1ccc(cc1)C(=O)c1sc(nc1N)Nc1ccccc1OC
smi_120	FC(CN(S(=O)(=O)c1ccccc1)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)O)(F)F
smi_121	NC(=O)C1CCCc2c1[nH]c1c2cc(cc1)Cl
smi_122	Cc1ccc(cc1NS(=O)(=O)C)Nc1ncnc(c1)c1cccc(c1)N1C(=O)c2c(C1=O)cccc2
smi_123	C=CC(=O)Nc1cc2c(ncnc2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F
smi_124	COc1cc2ncnc(c2cc1NC(=O)C=CCN1CCCCC1)Nc1ccc(c(c1)Cl)F
smi_125	Oc1cccc(c1)Oc1ncnc2c1cc([nH]2)c1cccc(c1)N
smi_126	COc1ccc(c(c1)Nc1nc2ccccc2nc1NS(=O)(=O)c1cccc(c1)NC(=O)C(N)(C)C)Cl
smi_127	O=C1NC(=O)C(=Cc2ccc3c(c2)c(ccn3)c2ccncc2)S1
smi_128	CCn1c(=O)c(cc2c1nc(N)nc2C)c1ccn[nH]1
smi_129	C[C@H](COc1cn2c(c1C)c(ncn2)Oc1ccc2c(c1F)cc([nH]2)C)O
smi_130	C=CC(=O)Nc1ccc2c(c1)c(ncn2)Nc1ccc(c(c1)Cl)OCc1cccc(c1)F
smi_131	CCNC(=O)Nc1ncc(s1)c1cc(nc(n1)c1cnccn1)c1c(C)cc(cc1C)OC
smi_132	Oc1cc2c3SCCNC(=O)c3sc2cc1
smi_133	OCC1CCCN1Cc1ccc(cc1)COc1cc(C)cc(c1)CS(=O)(=O)c1ccccc1
smi_134	CCn1c(=O)c2cc(C(=O)N)c(nc2n(c1=O)C1CC1)N
smi_135	COP(=O)(C(C(=O)[O-])(C)C)O
smi_136	OC(=O)CCCCC(SCc1ccccc1)CCSCc1ccccc1
smi_137	Fc1ccc(c(c1)OC1CCN(CC1)c1ccc(nn1)c1nnc(o1)C)Cl
smi_138	OCC1OC(C(C1O)O)n1cnc2c1nc(N)[nH]c2=O
smi_139	OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)CCc1c[nH]c2c1c(=O)[nH]c(n2)N
smi_140	COc1cccc(c1C1=NCc2c(c3c1cc(Cl)cc3)nc(nc2)Nc1ccc(c(c1)OC)C(=O)O)F
smi_141	CN1CCC(C(C1)O)c1c(O)cc(c2c1oc(cc2=O)c1ccccc1Cl)O
smi_142	CCCCCCCCC1OC(=O)C(=C)C1C(=O)O
smi_143	ONC(=O)C=CC(=CC(C(=O)c1ccc(cc1)N(C)C)C)C
smi_144	ONC(=O)C=Cc1ccc(cc1)CNCCc1c(C)[nH]c2c1cccc2
smi_145	CNC(C(=O)NC(C(=O)N1CCCC1c1scc(n1)C(=O)c1ccc(cc1)F)C1CCCCC1)C
smi_146	Clc1ccc(c(c1)C(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F)O
smi_147	Cc1csc(=NC2CCCCC2)n1N=Cc1ccc(c(c1O)O)O
smi_148	N1CCC(CC1)c1[nH]nc(c1)c1ccncc1.Cl.Cl
smi_149	O=C(Nc1cccc(c1)C(F)(F)F)Nc1ccc(cc1)Nc1nccc(n1)Nc1n[nH]c(c1)C1CCCC1
smi_150	S=C(N1CCC1)NN=C(c1ccccn1)C
smi_151	NCCCC1(SC(=NN1C(=O)N(OC)C)c1cc(F)ccc1F)c1ccccc1
smi_152	Cc1cccc(n1)c1nn(cc1c1ccnc2c1cccc2)C(=S)Nc1ccccc1
