epoch,ach_id,loss,rl_loss,vae_recon_loss,vae_kl_loss,used_encoder,mean_reward,validity,baseline,entropy,invalid_penalty,mean_reward_valid,min_reward_valid,max_reward_valid,frac_valid_below_penalty
30,ACH-000711,-43.4210319519043,-49.0241584777832,5.006899833679199,0.5962271094322205,True,-4.941473960876465,0.09375,-4.72943452490156,1.4115207195281982,-5.0,-4.3757219314575195,-4.957945823669434,-3.6024491786956787,0.0
31,ACH-000725,-40.40824508666992,-46.06365966796875,5.1107072830200195,0.5447078347206116,True,-4.944513320922852,0.109375,-4.750942404503689,1.441515326499939,-5.0,-4.492692947387695,-5.0313720703125,-4.086406707763672,0.1428571492433548
32,ACH-000755,-40.62507247924805,-46.4052734375,5.212480545043945,0.5677210688591003,True,-4.912293434143066,0.140625,-4.7670775074676275,1.5739067792892456,-5.0,-4.3763108253479,-4.925708770751953,-3.4206900596618652,0.0
33,ACH-000759,-40.439483642578125,-46.128944396972656,5.127203941345215,0.5622581839561462,True,-4.963016033172607,0.078125,-4.786671360038126,1.6557111740112305,-5.0,-4.5266032218933105,-4.638066291809082,-4.32257080078125,0.0
34,ACH-000768,-29.791000366210938,-35.6612548828125,5.306135177612305,0.5641201138496399,True,-4.938744068145752,0.15625,-4.801878630848888,1.410510778427124,-5.0,-4.607961177825928,-5.209752559661865,-3.9630181789398193,0.10000000149011612
35,ACH-000783,-37.403751373291016,-42.861778259277344,4.895792007446289,0.5622341632843018,True,-4.941789627075195,0.078125,-4.815869730471519,1.8429216146469116,-5.0,-4.25491189956665,-4.6284356117248535,-3.702063798904419,0.0
36,ACH-000818,-36.91769027709961,-43.027191162109375,5.521275997161865,0.5882247686386108,True,-4.850873947143555,0.078125,-4.819370152138723,1.984671711921692,-5.0,-3.091184616088867,-3.242615222930908,-2.9487228393554688,0.0
37,ACH-000828,-30.015117645263672,-35.66634750366211,5.084232807159424,0.5669968128204346,True,-4.892828464508057,0.0625,-4.8267159833756565,1.6864656209945679,-5.0,-3.285254716873169,-3.5176877975463867,-2.9765937328338623,0.0
38,ACH-000849,-21.87900161743164,-27.199724197387695,4.784503936767578,0.5362178683280945,True,-4.923409461975098,0.109375,-4.836385331235601,1.322916865348816,-5.0,-4.299742698669434,-4.740655422210693,-3.888751268386841,0.0
39,ACH-000856,-20.72516632080078,-26.092466354370117,4.786086559295654,0.5812124013900757,True,-4.879217147827148,0.140625,-4.840668512894756,1.3555066585540771,-5.0,-4.1411004066467285,-5.143690586090088,-3.4514617919921875,0.1111111119389534
40,ACH-000857,-18.36840057373047,-23.83993911743164,4.882661819458008,0.5888776779174805,True,-4.8845744132995605,0.15625,-4.845059102935236,1.289057731628418,-5.0,-4.261277198791504,-4.763634204864502,-3.819258213043213,0.0
41,ACH-000859,-15.741979598999023,-21.254192352294922,4.9346113204956055,0.5776017308235168,True,-4.904107093811035,0.171875,-4.850963902022816,1.194901704788208,-5.0,-4.442078590393066,-4.995373725891113,-3.981842517852783,0.0
42,ACH-000876,-23.308883666992188,-28.505455017089844,4.620347499847412,0.576224684715271,True,-4.950839042663574,0.125,-4.860951416086891,1.6288092136383057,-5.0,-4.606715202331543,-4.903553009033203,-3.9418320655822754,0.0
43,ACH-000902,-15.03725814819336,-20.142717361450195,4.526095867156982,0.5793631076812744,True,-4.871877670288086,0.171875,-4.86204404150701,1.266177773475647,-5.0,-4.254563331604004,-4.849865913391113,-3.758920669555664,0.0
44,ACH-000910,-14.992918014526367,-20.111833572387695,4.529804706573486,0.589111328125,True,-4.869035243988037,0.203125,-4.8627431617551125,1.2619235515594482,-5.0,-4.355250835418701,-4.89912748336792,-3.8629016876220703,0.0
45,ACH-000927,-21.10849380493164,-26.686647415161133,4.965710163116455,0.6124439835548401,True,-4.893828392028809,0.109375,-4.8658516847824815,1.6733386516571045,-5.0,-4.029290676116943,-4.6535491943359375,-2.5491206645965576,0.0
46,ACH-000930,-10.357691764831543,-15.45584774017334,4.49475622177124,0.6033998727798462,True,-4.893671035766602,0.1875,-4.868633619880893,0.9846278429031372,-5.0,-4.432912826538086,-5.062946796417236,-3.3796792030334473,0.0833333358168602
47,ACH-000934,-11.622208595275879,-16.773014068603516,4.568993091583252,0.5818123817443848,True,-4.916518688201904,0.125,-4.8734221267129945,1.0974171161651611,-5.0,-4.332150459289551,-4.910057544708252,-3.8958423137664795,0.0
48,ACH-001390,-26.415971755981445,-33.0958366394043,6.023968696594238,0.6558960676193237,True,-5.0,0.0,-4.886079914041695,2.185356616973877,-5.0,nan,nan,nan,nan
49,ACH-001819,-11.281183242797852,-16.333425521850586,4.471856594085693,0.5803850889205933,True,-4.892035484313965,0.125,-4.886675471068922,1.2436896562576294,-5.0,-4.1362810134887695,-4.519611358642578,-3.673029661178589,0.0
50,ACH-001820,-10.832168579101562,-15.726173400878906,4.315293788909912,0.5787112712860107,True,-4.932127475738525,0.109375,-4.891220671535883,1.1925147771835327,-5.0,-4.379448890686035,-5.007518291473389,-2.74953031539917,0.1428571492433548
51,ACH-000017,-11.547101020812988,-16.240734100341797,4.13651180267334,0.5571212768554688,True,-4.86760139465332,0.171875,-4.888858743847626,1.2918062210083008,-5.0,-4.229681015014648,-4.874607086181641,-3.8766226768493652,0.0
52,ACH-000019,-8.276740074157715,-13.608796119689941,4.774300575256348,0.5577554702758789,True,-4.883578777313232,0.203125,-4.888330747194186,1.0822701454162598,-5.0,-4.426849365234375,-5.071116924285889,-2.9467709064483643,0.1538461595773697
53,ACH-000044,-18.451541900634766,-23.999797821044922,4.945979118347168,0.6022764444351196,True,-4.90910530090332,0.0625,-4.8904082025651,1.8570270538330078,-5.0,-3.5456809997558594,-3.9846391677856445,-3.135624647140503,0.0
54,ACH-000097,-4.555999279022217,-9.700203895568848,4.580455780029297,0.5637489557266235,True,-4.9076008796691895,0.1875,-4.892127470275509,0.797583281993866,-5.0,-4.507205009460449,-5.209274768829346,-3.7426211833953857,0.25
55,ACH-000111,-7.5477614402771,-12.294583320617676,4.147209644317627,0.5996120572090149,True,-4.881927490234375,0.1875,-4.891107472271395,1.0007295608520508,-5.0,-4.370279312133789,-5.524831771850586,-3.3922841548919678,0.0833333358168602
56,ACH-000117,-8.623697280883789,-12.950860977172852,3.7456376552581787,0.5815258622169495,True,-4.880776882171631,0.171875,-4.890074413261419,1.035233497619629,-5.0,-4.306338310241699,-5.2429399490356445,-3.3429131507873535,0.09090909361839294
57,ACH-000147,-15.562196731567383,-20.534421920776367,4.450632572174072,0.5215920209884644,True,-4.919053077697754,0.140625,-4.892972279705052,1.5772712230682373,-5.0,-4.424378395080566,-5.181596279144287,-3.810662031173706,0.1111111119389534
58,ACH-000148,-13.547157287597656,-18.302783966064453,4.183498382568359,0.5721279382705688,True,-4.961861610412598,0.078125,-4.899861212775807,1.4579963684082031,-5.0,-4.511826515197754,-4.587958812713623,-4.453885078430176,0.0
59,ACH-000196,-7.9156293869018555,-12.509302139282227,3.997375011444092,0.5962976813316345,True,-4.805555820465088,0.203125,-4.890430673544735,1.1299818754196167,-5.0,-4.042737007141113,-4.991672515869141,-3.3969244956970215,0.0
60,ACH-000212,-6.209835529327393,-10.73611831665039,3.922868251800537,0.6034144163131714,True,-4.883312702178955,0.203125,-4.889718876408157,0.8528519868850708,-5.0,-4.425539493560791,-5.147705078125,-3.3898754119873047,0.07692307978868484
61,ACH-000223,-7.504271507263184,-11.981152534484863,3.8785817623138428,0.5982991456985474,True,-4.91243839263916,0.140625,-4.891990828031258,0.9451383352279663,-5.0,-4.377340793609619,-4.97719669342041,-3.8532676696777344,0.0
62,ACH-000248,-8.443861961364746,-12.975509643554688,3.9261085987091064,0.6055392622947693,True,-4.924784183502197,0.140625,-4.895270163578352,1.046400547027588,-5.0,-4.465132236480713,-4.997113227844238,-3.9828102588653564,0.0
63,ACH-000258,-5.823696613311768,-10.420907974243164,3.9967682361602783,0.6004430055618286,True,-4.857893943786621,0.140625,-4.891532541599179,0.9088948369026184,-5.0,-3.989467144012451,-4.697227478027344,-3.020577907562256,0.0
64,ACH-000276,-9.168853759765625,-13.555526733398438,3.7805213928222656,0.6061513423919678,True,-4.907726287841797,0.171875,-4.89315191622344,1.0995280742645264,-5.0,-4.463134765625,-5.0550312995910645,-4.022271633148193,0.09090909361839294
65,ACH-000277,-6.616927623748779,-10.93720531463623,3.735581159591675,0.5846965312957764,True,-4.8384528160095215,0.28125,-4.887682006202048,0.932424783706665,-5.0,-4.425609588623047,-5.637670993804932,-3.5112836360931396,0.0555555559694767
66,ACH-000288,-15.717854499816895,-20.339475631713867,4.048555374145508,0.5730657577514648,True,-4.910691261291504,0.140625,-4.8899829317109935,1.5511729717254639,-5.0,-4.364919185638428,-4.982795715332031,-3.379532814025879,0.0
67,ACH-000330,-5.928517818450928,-10.232513427734375,3.683659553527832,0.6203359365463257,True,-4.919154167175293,0.171875,-4.8929000552574236,0.8171059489250183,-5.0,-4.52962589263916,-5.1236724853515625,-3.5893197059631348,0.1818181872367859
68,ACH-000349,-7.923112869262695,-11.88922119140625,3.3837320804595947,0.5823764204978943,True,-4.950091361999512,0.140625,-4.898619185931633,0.9381692409515381,-5.0,-4.6450934410095215,-5.2180562019348145,-3.983198404312134,0.3333333432674408
